kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1
covariance_kernel2_gpu_mem,13459,1,1,8149,128,16688040,0,24,16688016,1,1043000,
covariance_kernel1_cpu,264,0,1,1,168,0,0,0,0,1,1044000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1044000,
covariance_kernel1_gpu,1543,1,1,8157,128,24,0,24,0,1,1044000,
covariance_kernel2_gpu,1547,1,1,8157,128,24,0,24,0,1,1044000,
covariance_kernel1_gpu_mem,8622,1,1,8157,128,8352024,0,24,8352000,1,1044000,
covariance_kernel2_gpu_mem,13401,1,1,8157,128,16704040,0,24,16704016,1,1044000,
covariance_kernel1_cpu,257,0,1,1,168,0,0,0,0,1,1045000,
covariance_kernel2_cpu,135,0,1,1,168,0,0,0,0,1,1045000,
covariance_kernel1_gpu,1543,1,1,8165,128,24,0,24,0,1,1045000,
covariance_kernel2_gpu,1542,1,1,8165,128,24,0,24,0,1,1045000,
covariance_kernel1_gpu_mem,8689,1,1,8165,128,8360024,0,24,8360000,1,1045000,
covariance_kernel2_gpu_mem,13556,1,1,8165,128,16720040,0,24,16720016,1,1045000,
covariance_kernel1_cpu,261,0,1,1,168,0,0,0,0,1,1046000,
covariance_kernel2_cpu,134,0,1,1,168,0,0,0,0,1,1046000,
covariance_kernel1_gpu,1544,1,1,8172,128,24,0,24,0,1,1046000,
covariance_kernel2_gpu,1544,1,1,8172,128,24,0,24,0,1,1046000,
covariance_kernel1_gpu_mem,8639,1,1,8172,128,8368024,0,24,8368000,1,1046000,
covariance_kernel2_gpu_mem,13503,1,1,8172,128,16736040,0,24,16736016,1,1046000,
covariance_kernel1_cpu,421,0,1,1,168,0,0,0,0,1,1047000,
covariance_kernel2_cpu,253,0,1,1,168,0,0,0,0,1,1047000,
covariance_kernel1_gpu,1479,1,1,8180,128,24,0,24,0,1,1047000,
covariance_kernel2_gpu,1489,1,1,8180,128,24,0,24,0,1,1047000,
covariance_kernel1_gpu_mem,7013,1,1,8180,128,8376024,0,24,8376000,1,1047000,
covariance_kernel2_gpu_mem,9456,1,1,8180,128,16752040,0,24,16752016,1,1047000,
covariance_kernel1_cpu,259,0,1,1,168,0,0,0,0,1,1048000,
covariance_kernel2_cpu,136,0,1,1,168,0,0,0,0,1,1048000,
covariance_kernel1_gpu,1550,1,1,8188,128,24,0,24,0,1,1048000,
covariance_kernel2_gpu,1553,1,1,8188,128,24,0,24,0,1,1048000,
covariance_kernel1_gpu_mem,8558,1,1,8188,128,8384024,0,24,8384000,1,1048000,
covariance_kernel2_gpu_mem,13318,1,1,8188,128,16768040,0,24,16768016,1,1048000,
covariance_kernel1_cpu,253,0,1,1,168,0,0,0,0,1,1049000,
covariance_kernel2_cpu,141,0,1,1,168,0,0,0,0,1,1049000,
covariance_kernel1_gpu,1487,1,1,8196,128,24,0,24,0,1,1049000,
covariance_kernel2_gpu,1488,1,1,8196,128,24,0,24,0,1,1049000,
covariance_kernel1_gpu_mem,6721,1,1,8196,128,8392024,0,24,8392000,1,1049000,
covariance_kernel2_gpu_mem,10014,1,1,8196,128,16784040,0,24,16784016,1,1049000,
covariance_kernel1_cpu,267,0,1,1,168,0,0,0,0,1,1050000,
covariance_kernel2_cpu,136,0,1,1,168,0,0,0,0,1,1050000,
covariance_kernel1_gpu,1545,1,1,8204,128,24,0,24,0,1,1050000,
covariance_kernel2_gpu,1553,1,1,8204,128,24,0,24,0,1,1050000,
covariance_kernel1_gpu_mem,8817,1,1,8204,128,8400024,0,24,8400000,1,1050000,
covariance_kernel2_gpu_mem,13763,1,1,8204,128,16800040,0,24,16800016,1,1050000,
covariance_kernel1_cpu,259,0,1,1,168,0,0,0,0,1,1051000,
covariance_kernel2_cpu,145,0,1,1,168,0,0,0,0,1,1051000,
covariance_kernel1_gpu,1554,1,1,8211,128,24,0,24,0,1,1051000,
covariance_kernel2_gpu,1554,1,1,8211,128,24,0,24,0,1,1051000,
covariance_kernel1_gpu_mem,8751,1,1,8211,128,8408024,0,24,8408000,1,1051000,
covariance_kernel2_gpu_mem,13758,1,1,8211,128,16816040,0,24,16816016,1,1051000,
covariance_kernel1_cpu,265,0,1,1,168,0,0,0,0,1,1052000,
covariance_kernel2_cpu,132,0,1,1,168,0,0,0,0,1,1052000,
covariance_kernel1_gpu,745,1,1,8219,128,24,0,24,0,1,1052000,
covariance_kernel2_gpu,745,1,1,8219,128,24,0,24,0,1,1052000,
covariance_kernel1_gpu_mem,7871,1,1,8219,128,8416024,0,24,8416000,1,1052000,
