kernel,runtime,gpu,collapse,num_teams,num_threads,mem_to,mem_alloc,mem_from,mem_delete,num_var,N1,,,
nn_kernel_gpu_mem,22225,1,1,84532,128,86560000,43280000,43280000,86560000,1,10820000,,,
nn_kernel_cpu,68141,0,1,1,128,0,0,0,0,1,10830000,,,
nn_kernel_gpu,308,1,1,84610,128,0,0,0,0,1,10830000,,,
nn_kernel_gpu_mem,21622,1,1,84610,128,86640000,43320000,43320000,86640000,1,10830000,,,
nn_kernel_cpu,68044,0,1,1,128,0,0,0,0,1,10840000,,,
nn_kernel_gpu,289,1,1,84688,128,0,0,0,0,1,10840000,,,
nn_kernel_gpu_mem,22295,1,1,84688,128,86720000,43360000,43360000,86720000,1,10840000,,,
nn_kernel_cpu,67352,0,1,1,128,0,0,0,0,1,10850000,,,
nn_kernel_gpu,304,1,1,84766,128,0,0,0,0,1,10850000,,,
nn_kernel_gpu_mem,22271,1,1,84766,128,86800000,43400000,43400000,86800000,1,10850000,,,
nn_kernel_cpu,67352,0,1,1,128,0,0,0,0,1,10850000,,,
nn_kernel_gpu,304,1,1,84766,128,0,0,0,0,1,10850000,,,
nn_kernel_gpu_mem,22271,1,1,84766,128,86800000,43400000,43400000,86800000,1,10850000,,,
nn_kernel_cpu,67992,0,1,1,128,0,0,0,0,1,10860000,,,
nn_kernel_gpu,306,1,1,84844,128,0,0,0,0,1,10860000,,,
nn_kernel_gpu_mem,22381,1,1,84844,128,86880000,43440000,43440000,86880000,1,10860000,,,
nn_kernel_cpu,66549,0,1,1,128,0,0,0,0,1,1090000,,,
nn_kernel_gpu,137,1,1,8516,128,0,0,0,0,1,1090000,,,
nn_kernel_gpu_mem,3215,1,1,8516,128,8720000,4360000,4360000,8720000,1,1090000,,,
nn_kernel_cpu,67333,0,1,1,128,0,0,0,0,1,10870000,,,
nn_kernel_gpu,322,1,1,84922,128,0,0,0,0,1,10870000,,,
nn_kernel_gpu_mem,22314,1,1,84922,128,86960000,43480000,43480000,86960000,1,10870000,,,
nn_kernel_cpu,68286,0,1,1,128,0,0,0,0,1,10880000,,,
nn_kernel_gpu,433,1,1,85000,128,0,0,0,0,1,10880000,,,
nn_kernel_gpu_mem,21601,1,1,85000,128,87040000,43520000,43520000,87040000,1,10880000,,,
nn_kernel_cpu,67774,0,1,1,128,0,0,0,0,1,10890000,,,
nn_kernel_gpu,282,1,1,85079,128,0,0,0,0,1,10890000,,,
nn_kernel_gpu_mem,22385,1,1,85079,128,87120000,43560000,43560000,87120000,1,10890000,,,
nn_kernel_cpu,75853,0,1,1,128,0,0,0,0,1,10900000,,,
nn_kernel_gpu,296,1,1,85157,128,0,0,0,0,1,10900000,,,
